iter	Passed	Remaining
380	416811	677182
381	417693	675745
382	418735	674568
383	419587	673088
384	420510	671723
385	421298	670147
386	422272	668871
387	423123	667401
388	423999	665972
389	424964	664687
390	426075	663631
391	427143	662508
392	428646	662057
393	429726	660949
394	430753	659761
395	431912	658775
396	432761	657317
397	433793	656139
398	434548	654546
399	436178	654268
400	437367	653324
401	439211	653354
402	440821	653028
403	441706	651626
404	442607	650250
405	443406	648727
406	444224	647236
407	445373	646228
408	446578	645299
409	447677	644218
410	448752	643103
411	449542	641580
412	450304	640021
413	451772	639465
414	452637	638055
415	453578	636754
416	454471	635388
417	455381	634047
418	456417	632883
419	457482	631761
420	458432	630480
421	459240	629007
422	460099	627606
423	461098	626398
424	462116	625217
425	463786	624913
426	464834	623770
427	466294	623179
428	467204	621850
429	468033	620416
430	468718	618794
431	469526	617340
432	470508	616116
433	471935	615473
434	472901	614227
435	474127	613320
436	474835	611744
437	475958	610705
438	477201	609818
439	478113	608507
440	479122	607323
441	480159	606173
442	481258	605103
443	482545	604268
444	483681	603242
445	484726	602104
446	485525	600660
447	486669	599646
448	487525	598277
449	488387	596918
450	489742	596160
451	490819	595064
452	491671	593695
453	492534	592343
454	493328	590910
455	494873	590375
456	495761	589055
457	496549	587619
458	497400	586260
459	498325	584991
460	499661	584203
461	500829	583216
462	501704	581890
463	502454	580421
464	503512	579309
465	504656	578297
466	505452	576886
467	506829	576139
468	507670	574782
469	508607	573535
470	509462	572199
471	510279	570820
472	511813	570244
473	512740	568990
474	513572	567632
475	514199	566051
476	515249	564938
477	516213	563731
478	517417	562786
479	518286	561476
480	519335	560364
481	520441	559312
482	521222	557913
483	522825	557392
484	523914	556321
485	525043	555292
486	525806	553878
487	526656	552558
488	527385	551112
489	528622	550199
490	529491	548902
491	530755	548015
492	531986	547093
493	533500	546460
494	534379	545175
495	535398	544033
496	536144	542617
497	536935	541247
498	537778	539934
499	538833	538833
500	539892	537737
501	540545	536238
502	541404	534946
503	542675	534061
504	543707	532941
505	544808	531887
506	545605	530539
507	546666	529448
508	547456	528096
509	548258	526758
510	549116	525475
511	549932	524154
512	551143	523210
513	552256	522172
514	553440	521201
515	554539	520149
516	555586	519048
517	556293	517632
518	557268	516466
519	558139	515205
520	559440	514341
521	560245	513022
522	561077	511728
523	562049	510564
524	563588	509913
525	564627	508808
526	565960	507967
527	567315	507145
528	568309	505999
529	569029	504610
530	569868	503330
531	570651	502001
532	571790	500986
533	573009	500042
534	573783	498708
535	575503	498197
536	576679	497211
537	577923	496283
538	578859	495091
539	579816	493917
540	580725	492703
541	582039	491834
542	583128	490772
543	584200	489697
544	585085	488466
545	586168	487400
546	586994	486121
547	588055	485038
548	589012	483869
549	590055	482772
550	591354	481883
551	592474	480848
552	594250	480343
553	595332	479274
554	596767	478489
555	598472	477916
556	599637	476911
557	600342	475540
558	601062	474183
559	602056	473044
560	603361	472149
561	604476	471104
562	605321	469850
563	606269	468676
564	607285	467555
565	608226	466378
566	609181	465212
567	610894	464623
568	611934	463521
569	612857	462331
570	613883	461218
571	614809	460032
572	615682	458806
573	616451	457505
574	617248	456227
575	618373	455191
576	619129	453885
577	620190	452803
578	621005	451542
579	621922	450357
580	622963	449263
581	624048	448199
582	624963	447015
583	626004	445920
584	626755	444621
585	627565	443365
586	628268	442035
587	628957	440698
588	629969	439588
589	631090	438554
590	632098	437442
591	633223	436410
592	634735	435644
593	636009	434713
594	636996	433585
595	638402	432742
596	639143	431448
597	640759	430744
598	642012	429794
599	643038	428692
600	644380	427799
601	645515	426769
602	646398	425572
603	647608	424591
604	648909	423668
605	649624	422363
606	650379	421086
607	651451	420014
608	652160	418710
609	653093	417551
610	653880	416300
611	654813	415143
612	655919	414096
613	656730	412862
614	657694	411727
615	658859	410717
616	659918	409641
617	661219	408714
618	662104	407531
619	663115	406425
620	664042	405269
621	664724	403964
622	665430	402676
623	666372	401532
624	667389	400433
625	668399	399331
626	669270	398146
627	670271	397039
628	671512	396075
629	672726	395093
630	673576	393898
631	674518	392757
632	676001	391931
633	677061	390859
634	678285	389880
635	679196	388722
636	679995	387501
637	681203	386513
638	682379	385507
639	683231	384317
640	684339	383273
641	685198	382089
642	686303	381042
643	687140	379848
644	687942	378635
645	688907	377512
646	689743	376320
647	690697	375193
648	691534	374004
649	692883	373091
650	694073	372091
651	694799	370844
652	695719	369700
653	696700	368591
654	697701	367491
655	698665	366373
656	699878	365385
657	700786	364238
658	701653	363071
659	702455	361870
660	703565	360830
661	704696	359799
662	706033	358873
663	706953	357735
664	707849	356585
665	708907	355518
666	710052	354493
667	710883	353313
668	711731	352142
669	712754	351058
670	713994	350080
671	714821	348901
672	715978	347882
673	717194	346892
674	718333	345864
675	719376	344789
676	720599	343801
677	721412	342617
678	722219	341432
679	723310	340381
680	724251	339260
681	725228	338156
682	726052	336981
683	727181	335949
684	728494	335001
685	729296	333818
686	730455	332798
687	731456	331707
688	732529	330648
689	733909	329727
690	735117	328728
691	736391	327758
692	737192	326577
693	738531	325635
694	739585	324566
695	740402	323394
696	741171	322202
697	742176	321113
698	742938	319920
699	743711	318733
700	744608	317600
701	745304	316382
702	746365	315320
703	747236	314179
704	748105	313037
705	749259	312014
706	750182	310896
707	751114	309781
708	752270	308759
709	753267	307672
710	754230	306571
711	755089	305429
712	755873	304257
713	756881	303176
714	757746	302038
715	758759	300960
716	759502	299775
717	760349	298633
718	761711	297692
719	763120	296769
720	764466	295820
721	765437	294725
722	766192	293548
723	767480	292575
724	768795	291611
725	770133	290656
726	771089	289556
727	772650	288682
728	773330	287479
729	774304	286386
730	775490	285372
731	776417	284262
732	777333	283148
733	778610	282166
734	779366	280996
735	780130	279829
736	781257	278793
737	782289	277723
738	783168	276599
739	784757	275725
740	786031	274739
741	787018	273653
742	787914	272535
743	788700	271380
744	789471	270221
745	790318	269089
746	791396	268036
747	792297	266923
748	793393	265876
749	794310	264770
750	795088	263617
751	796459	262662
752	797430	261574
753	798658	260570
754	799537	259452
755	800607	258397
756	801682	257343
757	802703	256272
758	803655	255179
759	804482	254047
760	805788	253066
761	806524	251906
762	807479	250815
763	808462	249734
764	809504	248671
765	810515	247598
766	811447	246502
767	812675	245495
768	813507	244369
769	814736	243362
770	815764	242295
771	816653	241187
772	817354	240025
773	818117	238881
774	819130	237812
775	820102	236730
776	821135	235666
777	822273	234633
778	823511	233627
779	824268	232485
780	825000	231338
781	825836	230220
782	827118	229227
783	828081	228144
784	828864	227013
785	829609	225873
786	830607	224802
787	831446	223688
788	832378	222600
789	833196	221482
790	834351	220454
791	835996	219554
792	837361	218579
793	838490	217542
794	839279	216417
795	840144	215313
796	841088	214229
797	841902	213113
798	842992	212066
799	844048	211012
800	844956	209920
801	846071	208880
802	846793	207743
803	848105	206752
804	849156	205696
805	850556	204724
806	851679	203685
807	852708	202623
808	853566	201521
809	854392	200413
810	855155	199290
811	856205	198234
812	857193	197165
813	858393	196143
814	859333	195063
815	860227	193972
816	861174	192894
817	862131	191818
818	863179	190763
819	863928	189642
820	864697	188527
821	865474	187414
822	866432	186340
823	867445	185279
824	868673	184264
825	869546	183173
826	870600	182120
827	871420	181019
828	872349	179941
829	873474	178904
830	874587	177864
831	875495	176782
832	876342	175689
833	877523	174662
834	878920	173678
835	879894	172610
836	880939	171556
837	882413	170585
838	883282	169497
839	884334	168444
840	885517	167416
841	886635	166375
842	887781	165340
843	888991	164316
844	890610	163366
845	891917	162358
846	892697	161254
847	893812	160211
848	894784	159143
849	895666	158058
850	896605	156984
851	897423	155890
852	898364	154817
853	899406	153762
854	900525	152720
855	901529	151659
856	902674	150621
857	903479	149526
858	904446	148459
859	905249	147366
860	906112	146282
861	907573	145296
862	908422	144210
863	909244	143121
864	910549	142108
865	911459	141034
866	912653	140003
867	913654	138942
868	914968	137929
869	915839	136849
870	916582	135750
871	917797	134722
872	918695	133647
873	919675	132584
874	920828	131546
875	922226	130543
876	923036	129456
877	924214	128421
878	925005	127332
879	925733	126236
880	926841	125192
881	927949	124147
882	928698	123055
883	929964	122031
884	931085	120988
885	932175	119941
886	932973	118856
887	933752	117770
888	935058	116750
889	935856	115667
890	936753	114597
891	937972	113566
892	939107	112524
893	939965	111450
894	941268	110428
895	942476	109394
896	943827	108377
897	944842	107320
898	945545	106229
899	946500	105166
900	947312	104088
901	948470	103048
902	949250	101968
903	950153	100901
904	951819	99914
905	952795	98855
906	953703	97788
907	954627	96724
908	955284	95633
909	956209	94570
910	957112	93504
911	958098	92448
912	958941	91377
913	959920	90320
914	960826	89257
915	962033	88221
916	963631	87220
917	965070	86204
918	966727	85206
919	967962	84170
920	969132	83128
921	970224	82079
922	971511	81047
923	973018	80031
924	973937	78967
925	974893	77907
926	975902	76850
927	977157	75813
928	978310	74768
929	979109	73696
930	980299	72653
931	981355	71601
932	982297	70540
933	983144	69472
934	984188	68419
935	985006	67350
936	986134	66303
937	987154	65249
938	987940	64179
939	988850	63118
940	990272	62089
941	991288	61034
942	992049	59964
943	993053	58909
944	994336	57871
945	995660	56834
946	996791	55786
947	998086	54747
948	999460	53711
949	1000605	52663
950	1001594	51606
951	1002423	50542
952	1003583	49494
953	1004796	48449
954	1005948	47400
955	1007287	46360
956	1008193	45300
957	1009278	44248
958	1010274	43192
959	1011098	42129
960	1012167	41076
961	1013235	40023
962	1014095	38963
963	1015160	37910
964	1016263	36859
965	1017298	35805
966	1018324	34751
967	1019135	33690
968	1020194	32637
969	1021369	31588
970	1022441	30536
971	1023289	29477
972	1024159	28419
973	1025017	27361
974	1025868	26304
975	1027449	25265
976	1028238	24206
977	1028988	23146
978	1030573	22106
979	1031699	21055
980	1032651	20000
981	1033571	18945
982	1034451	17889
983	1035229	16832
984	1035979	15776
985	1036994	14724
986	1037861	13669
987	1038991	12619
988	1039913	11566
989	1040727	10512
990	1042042	9463
991	1042754	8409
992	1043616	7356
993	1044682	6305
994	1045545	5253
995	1046496	4202
996	1047449	3151
997	1048838	2101
998	1049966	1051
999	1050937	0
