feature,importance
정상청구원금_B5M,0.030436238977004634
이용금액대,0.01920380569971495
이용금액_일시불_R12M,0.018769183127151718
이용금액_오프라인_B0M,0.01830409749024444
이용금액_R3M_신용체크,0.017617007618230957
정상청구원금_B2M,0.01681459718373282
정상청구원금_B0M,0.014624829448294043
청구금액_R3M,0.01237414822451281
청구금액_R6M,0.011778502146000258
이용금액_일시불_R3M,0.01166856514223553
연속유실적개월수_기본_24M_카드,0.011603592043356233
청구금액_B0,0.011430306987724539
입회경과개월수_신용,0.011113573152828333
최대이용금액_일시불_R12M,0.010975694828272738
입회일자_신용,0.010928651626340553
이용금액_오프라인_R3M,0.010845560681261688
이용금액_일시불_B0M,0.01056028595931271
이용금액_R3M_신용,0.010089456164214836
이용금액_일시불_R6M,0.00936020546320601
_1순위카드이용금액,0.009241135444301165
정상입금원금_B5M,0.008773051064877576
이용금액_오프라인_R6M,0.008291673907911886
정상입금원금_B2M,0.008255604563160691
정상입금원금_B0M,0.007816797380529228
이용금액_체크_R12M,0.007535855833801611
이용건수_일시불_R12M,0.006471378548120358
월상환론한도금액,0.006342790484674636
카드이용한도금액_B1M,0.006281105189655326
최대이용금액_체크_R12M,0.006242660228261032
카드이용한도금액_B2M,0.0061225675777197945
평잔_6M,0.006114820078431216
이용건수_신용_R12M,0.0061063685632281066
카드이용한도금액,0.005917019032089093
월중평잔_일시불_B0M,0.005702247996620818
평잔_일시불_6M,0.005700850479613133
_2순위쇼핑업종_이용금액,0.00530640767403676
CA한도금액,0.005292793287340055
_2순위업종_이용금액,0.005048332822706161
최종카드발급일자,0.004910885037028875
이용건수_신판_R12M,0.004846124142130312
연체입금원금_B5M,0.004817338641295125
이용개월수_신판_R12M,0.004803368156319811
이용건수_체크_R12M,0.004801430380306474
이용금액_체크_R6M,0.004724119313627926
이용개월수_신용_R12M,0.0047140556960245375
잔액_일시불_B0M,0.004657304812353018
최대이용금액_CA_R12M,0.004547983791030669
평잔_일시불_3M,0.004441889424683328
_3순위업종_이용금액,0.004350325602125003
월중평잔_일시불,0.004343938588779186
이용금액_체크_B0M,0.0042519479427036025
_1순위업종_이용금액,0.004204772194632297
이용금액_체크_R3M,0.004179063540234914
평잔_3M,0.004165827736827682
이용개월수_일시불_R12M,0.00401603586825754
최종이용일자_CA,0.004005326715846685
이용금액_R3M_체크,0.0037873200336580736
이용금액_CA_R12M,0.0037726439544704827
월중평잔,0.0037521278417164687
쇼핑_도소매_이용금액,0.0037021861778725163
이용건수_신용_R6M,0.003656937133821207
이용건수_체크_R6M,0.0036343309495636693
이용건수_일시불_R6M,0.0036129142234102777
이용건수_체크_R3M,0.0035391359117414906
최종카드발급경과월,0.0035390888701856936
이용건수_신판_R3M,0.003528711374295019
이용건수_신용_R3M,0.003405265320313377
이용건수_오프라인_B0M,0.003401227166466054
최종이용일자_할부,0.003340571280072467
최종유효년월_신용_이용가능,0.0032934289353363016
쇼핑_마트_이용금액,0.003242276500660488
RV현금서비스이자율_할인전,0.0031889247898819807
_2순위카드이용금액,0.003153269355453226
_1순위교통업종_이용금액,0.003127379985642423
_3순위쇼핑업종_이용금액,0.00310634838461876
최대이용금액_할부_R12M,0.0031063104834305965
CA이자율_할인전,0.0030680324087182086
잔액_일시불_B1M,0.0030667871193700257
이용가맹점수,0.0030653649618589286
CL이자율_할인전,0.0030278685125967285
이용건수_체크_B0M,0.0030227952150828573
이용금액_할부_R12M,0.0029570591357134736
연체입금원금_B2M,0.0029376003419831712
잔액_신판ca최대한도소진율_r6m,0.002877132182960445
연체입금원금_B0M,0.002875256945620249
교통_주유이용금액,0.0028646523060637586
이용건수_일시불_R3M,0.0028437596006365517
이용건수_신판_R6M,0.002836449695342383
_1순위카드이용건수,0.0028214220000584134
RV일시불이자율_할인전,0.002816565540788736
이용카드수_신용체크,0.0028044723680637363
_1순위쇼핑업종_이용금액,0.0027786405990868996
이용건수_오프라인_R3M,0.002762570596231344
최대이용금액_할부_무이자_R12M,0.0027197811123469474
이용금액_할부_무이자_R12M,0.0026631744245899864
잔액_신판ca평균한도소진율_r6m,0.002637521441150412
이용건수_오프라인_R6M,0.002628869212027754
최종이용일자_체크,0.002582186095555175
잔액_신판평균한도소진율_r6m,0.0025747579137134556
쇼핑_슈퍼마켓_이용금액,0.002559925358319656
잔액_신판ca최대한도소진율_r3m,0.002559255135371589
잔액_신판최대한도소진율_r6m,0.0025194990272869714
잔액_신판ca평균한도소진율_r3m,0.0025170811159698336
잔액_일시불_B2M,0.002514463557932336
이용건수_신용_B0M,0.0024994116571500167
할부금액_3M_R12M,0.0024731735572706714
이용건수_신판_B0M,0.002448738612148816
유효카드수_신용체크,0.0024186274000993304
잔액_신판평균한도소진율_r3m,0.0023820110853242944
잔액_신판최대한도소진율_r3m,0.002344570747784723
이용가능카드수_신용체크,0.002326679226504566
평잔_CA_6M,0.002279042910040334
이용개월수_체크_R12M,0.0022630249311312916
할부금액_무이자_3M_R12M,0.0022626955558539765
이용금액_CA_R6M,0.002207578112944758
변동률_일시불평잔,0.0021790538041776605
쇼핑_편의점_이용금액,0.0021598733491524965
혜택수혜금액_R3M,0.0021515228337198543
이용금액_온라인_R6M,0.0021128399752523485
평잔_CA_3M,0.002099705927031631
컨택건수_이용유도_EM_R6M,0.0020886044604767214
_2순위카드이용건수,0.00208091173322953
이용건수_CA_R12M,0.0020664489920514946
대표결제일,0.002060847571175084
증감율_이용금액_신판_분기,0.002050803329522681
증감율_이용금액_일시불_분기,0.0020292163312843983
최초한도금액,0.002023885696170233
